symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	direction
GDPD2	-2.89666666666667	0.871666666666667	-34.394623281391	2.02622885684587e-10	9.25037115397336e-08	14.7726169292652	Down
SOX17	2.88	-0.796666666666667	25.9753309430912	2.15552658693585e-09	3.57973861265387e-07	12.4413155086114	Up
VAMP8	2.86666666666667	-0.41	37.3045068327761	1.02057329530535e-10	6.25960573517941e-08	15.4174181575821	Up
CLVS2	2.86666666666667	-0.293333333333333	35.6096531059103	1.51148681209335e-10	7.82849402876884e-08	15.0501743974424	Up
POLR3G	-2.84	0.613333333333333	-43.6074342484906	2.72646137946971e-11	2.88566280263387e-08	16.6080253284622	Down
B3GALT1	-2.83666666666667	0.185	-24.6282910840945	3.37044782235289e-09	4.62730399160683e-07	11.9853362849928	Down
PLCE1	2.83333333333333	-0.716666666666667	30.0371080565833	6.35006494366321e-10	1.76457245945788e-07	13.6650891033714	Up
NTN4	2.82666666666667	-0.233333333333333	31.112617016568	4.72111082365566e-10	1.51317527456344e-07	13.9561732610165	Up
LRIG3	2.80333333333333	-0.231666666666667	30.9441772219044	4.94212608912234e-10	1.51317527456344e-07	13.9114051174527	Up
USP44	-2.79333333333333	0.41	-40.8278667650052	4.75935161001717e-11	3.50768225586399e-08	16.1142024900355	Down
CDH2	2.78666666666667	-0.943333333333333	25.3009911111622	2.68829644658832e-09	3.99372340793854e-07	12.2165201142019	Up
GALNT3	-2.77666666666667	1.08833333333333	-31.6330173883575	4.10505115189745e-10	1.3668061028182e-07	14.0926229890349	Down
CFLAR	2.77333333333333	1.15	32.9910734327856	2.87982718144168e-10	1.07746738344837e-07	14.4359654100243	Up
ARHGAP24	2.75666666666667	-0.235	29.0878331346483	8.32194844028095e-10	1.979180125486e-07	13.3974590931759	Up
FAM184A	2.73666666666667	-0.828333333333333	33.7908203156382	2.35289443692065e-10	9.8188290035346e-08	14.629966622062	Up
RND3	-2.73333333333333	0.153333333333333	-33.7093549094499	2.4013097061032e-10	9.8188290035346e-08	14.6104719140271	Down
AASS	-2.7	0.326666666666667	-24.3518727591481	3.70513169188723e-09	4.90645209970292e-07	11.8882524072506	Down
MCC	2.69666666666667	-0.811666666666667	39.4370142732128	6.37991181086963e-11	4.24847441645539e-08	15.8492347689629	Up
WLS	2.68333333333333	-0.395	24.6624317350799	3.33150583226814e-09	4.62186943051629e-07	11.9972414651016	Up
EDIL3	-2.67	0.268333333333333	-24.2208564678209	3.87659918291774e-09	5.01954984201465e-07	11.8418003819553	Down
CPE	2.66666666666667	0.23	28.1627882375983	1.09232701305575e-09	2.39328722250202e-07	13.1263885745417	Up
KDR	-2.66333333333333	0.461666666666667	-23.21051082091	5.54029931902291e-09	6.36097321322497e-07	11.473809443887	Down
GRID2	-2.64	0.156666666666667	-21.8250882645927	9.27268921335831e-09	9.08061207965303e-07	10.9391624230726	Down
AIM1	-2.64	0.986666666666667	-25.7397825372761	2.32691416945762e-09	3.7066911871802e-07	12.3635640883245	Down
PROM1	-2.63666666666667	0.105	-20.315274510704	1.68726676623367e-08	1.37162049344327e-06	10.3125207198416	Down
ITGA6	-2.62666666666667	1.06666666666667	-27.2748089335695	1.43015510746583e-09	2.6881149265892e-07	12.8560607873912	Down
MAMDC2	-2.62	0.573333333333333	-36.5024727777976	1.22625270419819e-10	6.80482661351124e-08	15.2464197918122	Down
MACC1	-2.62	-0.373333333333333	-24.4728501317612	3.55429190333364e-09	4.76091272362053e-07	11.9308949444238	Down
GLIPR2	2.61666666666667	0.108333333333333	36.1996094499322	1.31565214069512e-10	7.13114056818165e-08	15.1805580612967	Up
OR5P1P	2.61	-0.118333333333333	12.9947922445146	6.72595707899512e-07	1.74179868489044e-05	6.36757826953685	Up
FGF2	-2.60666666666667	0.26	-30.9397942204333	4.94802940873711e-10	1.51317527456344e-07	13.9102362069346	Down
RN7SL74P	-2.60666666666667	0.566666666666667	-30.2561838072916	5.97299214490519e-10	1.74015659901631e-07	13.7254021391823	Down
